name,price,first_name,last_name,above_100
Lily-Rose Crowther,117.0,Lily-Rose,Crowther,True
Teagan Lynn,198.0,Teagan,Lynn,True
Jerome Gibbs,39.0,Jerome,Gibbs,False
Bobby O'Moore,157.0,Bobby,O'Moore,True
Eduardo Whitfield,,Eduardo,Whitfield,False
Khalil Kavanagh,120.0,Khalil,Kavanagh,True
Huw Weber,880.0,Huw,Weber,True
Eathan Bishop,172.0,Eathan,Bishop,True
Alysha Barnard,98.0,Alysha,Barnard,False
Hettie Santos,122.0,Hettie,Santos,True
Blaine Drummond,143.0,Blaine,Drummond,True
Mercy Ramirez,178.0,Mercy,Ramirez,True
Merryn Rutledge,53.0,Merryn,Rutledge,False
Homer Johns,22.0,Homer,Johns,False
Larry Bender,20.0,Larry,Bender,False
Amal Haynes,178.0,Amal,Haynes,True
Kevin Scott,193.0,Kevin,Scott,True
Yasir Medrano,87.0,Yasir,Medrano,False
Ksawery Glass,67.0,Ksawery,Glass,False
Santino Macgregor,178.0,Santino,Macgregor,True
Laurence Wicks,41.0,Laurence,Wicks,False
Luka Baird,34.0,Luka,Baird,False
Haniya Schmidt,111.0,Haniya,Schmidt,True
Suhail Humphrey,189.0,Suhail,Humphrey,True
Ira Clayton,48.0,Ira,Clayton,False
Kaya Odonnell,170.0,Kaya,Odonnell,True
Angelo Santana,12.0,Angelo,Santana,False
Riley Lloyd,197.0,Riley,Lloyd,True
Kendrick Raymond,112.0,Kendrick,Raymond,True
Ann Appleton,39.0,Ann,Appleton,False
Sienna Kendall,149.0,Sienna,Kendall,True
Dylan Goff,,Dylan,Goff,False
Tayyibah Kidd,96.0,Tayyibah,Kidd,False
Dale Rodriguez,61.0,Dale,Rodriguez,False
Emma Parkinson,89.0,Emma,Parkinson,False
India Maxwell,71.0,India,Maxwell,False
Manisha Morales,114.0,Manisha,Morales,True
Stefan Tran,88.0,Stefan,Tran,False
Kian Moore,,Kian,Moore,False
Isobel Melendez,177.0,Isobel,Melendez,True
Zubair Clements,7.0,Zubair,Clements,False
Salahuddin Mill,170.0,Salahuddin,Mill,True
Mitchel Hirst,29.0,Mitchel,Hirst,False
Harlow Walsh,128.0,Harlow,Walsh,True
Dominick Long,,Dominick,Long,False
Liam Chavez,96.0,Liam,Chavez,False
Lacey-Mai Gilbert,20.0,Lacey-Mai,Gilbert,False
Tyrique Weiss,82.0,Tyrique,Weiss,False
Harry Rose,64.0,Harry,Rose,False
Jevan Grey,17.0,Jevan,Grey,False
Dana Sheppard,83.0,Dana,Sheppard,False
Cain Mcfadden,22.0,Cain,Mcfadden,False
Cassie Jones,117.0,Cassie,Jones,True
Leyla Miranda,22.0,Leyla,Miranda,False
Lilly-Mai Bernard,54.0,Lilly-Mai,Bernard,False
Dakota Thomas,2.0,Dakota,Thomas,False
Zeshan Kim,62.0,Zeshan,Kim,False
Emilia Anthony,164.0,Emilia,Anthony,True
Kadie Hurst,166.0,Kadie,Hurst,True
